"id";"choices";"label";"question";"init";"speech";"emotion";"edittext";"variable"
1;"2,3,4";"Hi, Cate it's nice to meet you.";"Hi <Name>! It's a pleasure to meet you. I'm Cate. How are you feeling today?";0;"Hi <Name>! It's a pleasure to meet you. I'm Cate. How are you feeling today?";"HAPPY";0;"<Name>"
2;"5,6,7";"I'm feeling great! (Happy)";"Oh, that sounds great! I'm feeling  good myself. What made you feel that way? ";0;"Oh, that sounds great! I'm feeling  good myself. What made you feel that way? ";"HAPPY";0;""
3;"29,30,31";"I'm feeling down. (Sad)";"I know how that feels, <Name>. Do you want to talk about it? It might make you feel better.";0;"I know how that feels, <Name>. Do you want to talk about it? It might make you feel better.";"WORRIED";0;"<Name>"
4;"64,65";"I'm feeling frustrated (Angry)";"Alright <Name>, First of all I want you to calm down. Now, Do you want to talk about it?";0;"Alright <Name>, First of all I want you to calm down. Now, Do you want to talk about it?";"CONCERNED";0;"<Name>"
5;"8,9,10";"I am not sure, but I do feel happy!";"Wow! That is good to hear, I hope everyone feels like this. What did you do recently that possibly made you happy? ";0;"Wow! That is good to hear, I hope everyone feels like this. What did you do recently that possibly made you happy? ";"HAPPY";0;""
6;"15";"Someone made me happy recently";"Aww That sounds sweet. Who is the person that made you happy?";0;"Awe That sounds sweet. Who is the person that made you happy?";"HAPPY";1;"<NameofPerson>"
7;"21";"I engaged in an activity recently";"Sounds productive, that is great! What activity did you do?";0;"Sounds productive, that is great! What activity did you do?";"HAPPY";1;"<activity>"
8;"11,12";"I talked with my loved ones recently";"Sounds awesome! This could possibly be the reason why you are happy then. Do you agree?";0;"Sounds awesome! This could possibly be the reason why you are happy then. Do you agree?";"HAPPY";0;""
9;"69";"I really do not know.";"That is a great mood to be in, I am very glad that you feel really happy even though you do not know what made you happy!";0;"That is a great mood to be in, I am very glad that you feel really happy even though you do not know what made you happy!";"HAPPY";0;""
10;"13,14";"Did some hobbies and/or activities";"This could be the reason why you are happy, maybe? Do you think so too?";0;"This could be the reason why you are happy, maybe? Do you think so too?";"HAPPY";0;""
11;"69";"I agree";"This may be the reason why you are happy then. Continue talking to loved ones so that you will still be happy.";0;"This may be the reason why you are happy then. Continue talking to loved ones so that you will still be happy.";"HAPPY";0;""
12;"69";"I am still not sure";"I'm not really sure what happened, but at least you're happy. Keep it up by doing things that you like or by talking to your loved ones.";0;"I'm not really sure what happened, but at least you're happy. Keep it up by doing things that you like or by talking to your loved ones.";"HAPPY";0;""
13;"69";"Yes";"Then that's probably why you're happy. If you do them often, you will become happier";0;"Then that's probably why you're happy. If you do them often, you will become happier";"HAPPY";0;""
14;"69";"No";"I'm not really sure what happened, but at least you're happy. Keep it up by doing things that you like or by talking to your loved ones.";0;"I'm not really sure what happened, but at least you're happy. Keep it up by doing things that you like or by talking to your loved ones.";"HAPPY";0;""
15;"16,17,18";"Done";"How did <NameofPerson> make you happy?";0;"How did <NameofPerson> make you happy?";"HAPPY";0;"<NameofPerson>"
16;"69";"I had a great time with them";"I am so happy that you had a great time with them! I hope you get to talk to them more real soon!";0;"I am so happy that you had a great time with them! I hope you get to talk to them more real soon!";"HAPPY";0;""
17;"19";"They gave me a gift that I like";"Gifts are awesome! What did they gift you?";0;"Gifts are awesome! What did they gift you?";"HAPPY";1;"<nameGift>"
18;"20";"I remembered something about them";"What memories do you remember about them?";0;"What memories do you remember about them?";"HAPPY";1;"<memory>"
19;"110,111,112";"Done";"That's a cool gift! Do not forget to thank <NameofPerson> that gave you <nameGift>. Would you like to call them now or atleast set a reminder?";0;"That's a cool gift! Do not forget to thank <NameofPerson> that gave you <nameGift>. Would you like to call them now or atleast set a reminder?";"HAPPY";0;"<NameofPerson>"
20;"69";"Done";"Hearing about that makes me happy as well! Try to talk to or spend time with them more!";0;"Hearing about that makes me happy as well! Try to talk to or spend time with them more!";"HAPPY";0;""
21;"22,23";"Done";"It's good to hear that it made you happy. Make sure to keep <activity> so that you remain happy! Did you feel tired after?";0;"It's good to hear that it made you happy. Make sure to keep <activity> so that you remain happy! Did you feel tired after?";"HAPPY";0;"<activity>"
22;"24,25,26";"Yes";"How often do you do it?";0;"How often do you do it?";"HAPPY";0;""
23;"69";"No";"I'm guessing that you're already used to <activity>. Keep it up because it is healthy for your mind and body!";0;"I'm guessing that you're already used to <activity>. Keep it up because it is healthy for your mind and body!";"HAPPY";0;""
24;"69";"3-5 times a week";"That's really good for your mind and body! Keep doing what you're doing.";0;"That's really good for your mind and body! Keep doing what you're doing.";"HAPPY";0;""
25;"69";"1-2 times a week";"Good for you! Keep on being active so that it can make you happier!";0;"Good for you! Keep on being active so that it can make you happier!";"HAPPY";0;""
26;"69";"It was one of the first times I've done this";"That's great to hear! Keep doing it if you like it!";0;"That's great to hear! Keep doing it if you like it!";"HAPPY";0;""
27;"69";"Okay! I will try to!";"What are you looking forward to today?";0;"What are you looking forward to today?";"HAPPY";0;""
28;"69";"Okay! Thank you!!";"What are you looking forward to today?";0;"What are you looking forward to today?";"HAPPY";0;""
29;"32,33";"Something happened recently.";"Oh no, May I ask what happened?";0;"Oh no, May I ask what happened?";"WORRIED";0;""
30;"40,41,42";"Something regarding my family";"Awe. What about your family made you sad?";0;"Awe. What about your family made you sad?";"CONCERNED";0;""
31;"47,48,49";"I feel lonely recently.";"Hey I am here for you okay? What made you feel lonely?";0;"Hey I am here for you okay? What made you feel lonely?";"WORRIED";0;""
32;"34,35";"I had an argument/fight with someone.";"Okay, fights are normal but I hope it will not affect you that much. Was it with someone close to you?";0;"Okay, fights are normal but I hope it will not affect you that much. Was it with someone close to you?";"CONCERNED";0;""
33;"38,39";"I heard something bad from someone, news or tv";"Was it something that could affect you?";0;"Was it something that could affect you?";"WORRIED";0;""
34;"36,37";"Yes";"Are you willing to fix things with them?";0;"Are you willing to fix things with them?";"CONCERNED";0;""
35;"69";"No";"Try not to let them affect you that much since you are not that close, but I hope you can forgive each other.";0;"Try not to let them affect you that much since you are not that close, but I hope you can forgive each other.";"CONCERNED";0;""
36;"69";"Yes";"That's great to hear. Keeping your friendship is better than winning an argument. It's normal to fight with people but at the end we need to learn to forgive each other.";0;"That's great to hear. Keeping your friendship is better than winning an argument. It's normal to fight with people but at the end we need to learn to forgive each other.";"HAPPY";0;""
